正式位置,攤位名稱,攤位類型,請幫你的攤位下Hashtag,攤位簡介,攤位代表圖,相關社群連結 (只能填一個連結),,,,,,,,,,
E2,夢想細工,原創作品,女性向 手工飾品,"夢想細工手工飾品
創立這品牌的理念在於…希望孩子都能擁有自己自己喜歡的飾品，
即使家境不好的孩子，也能有的小確幸
不以盈收為主要目的，而是在收支平衡下持續創作
",IMG_9056 - 夢想.jpeg,https://www.facebook.com/share/19NdqNQtzL/?mibextid=wwXIfr,,,,,,,,,,
E3,手創館,原創作品,#手工飾品 #手作,,,,,,,,,,,,,
E4,玥邸篇穹,同人二創,#Cosplay #女性向,,,,,,,,,,,,,
R1-R4,森蘿御界,"同人二創, 官方周邊",#東方Project  #男性向,,,,,,,,,,,,,
S1,雲緣起官方,原創作品,#雲緣起,雲緣起攤位首次開張啦!! 這裡有本屆吉祥物的原創商品，雲科數媒的寄攤也在這裡喔！,,https://www.facebook.com/share/18Bv1yBRym/,,,,,,,,,,
S2,雲科櫻華社,"原創作品, 同人二創",#Hololive #原神  #男性向,會有24屆幹部和吉祥物的周邊，歡迎各位來攤位上看看??,,https://www.facebook.com/share/18uWRVesZ4/,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
